commodity,arrival_date,min_price,max_price,modal_price,latitude,longitude
Jowar(Sorghum),738522,3500,4710.0,4425.0,21.598002,71.216081
Jowar(Sorghum),738523,2000,4450.0,4450.0,21.598002,71.216081
Jowar(Sorghum),738524,3000,4200.0,3500.0,21.598002,71.216081
Jowar(Sorghum),738525,3000,4930.0,4930.0,21.598002,71.216081
Jowar(Sorghum),738526,3200,4850.0,4550.0,21.598002,71.216081
Jowar(Sorghum),738527,3500,3500.0,3500.0,21.598002,71.216081
Jowar(Sorghum),738529,3525,4635.0,4635.0,21.598002,71.216081
Jowar(Sorghum),738531,4530,4805.0,4710.0,21.598002,71.216081
Jowar(Sorghum),738532,5080,5080.0,5080.0,21.598002,71.216081
Jowar(Sorghum),738533,3460,5100.0,4575.0,21.598002,71.216081
Jowar(Sorghum),738536,3050,5315.0,5025.0,21.598002,71.216081
Jowar(Sorghum),738538,3500,5160.0,5160.0,21.598002,71.216081
Jowar(Sorghum),738539,3210,4850.0,4850.0,21.598002,71.216081
Jowar(Sorghum),738540,3250,5900.0,5000.0,21.598002,71.216081
Jowar(Sorghum),738541,4350,5750.0,5115.0,21.598002,71.216081
Jowar(Sorghum),738543,2600,6110.0,6000.0,21.598002,71.216081
Jowar(Sorghum),738544,3705,6130.0,5725.0,21.598002,71.216081
Jowar(Sorghum),738545,3500,6000.0,5755.0,21.598002,71.216081
Jowar(Sorghum),738547,3500,5630.0,4555.0,21.598002,71.216081
Jowar(Sorghum),738548,3125,5755.0,5350.0,21.598002,71.216081
Jowar(Sorghum),738550,4625,6005.0,5515.0,21.598002,71.216081
Jowar(Sorghum),738552,5510,5510.0,5510.0,21.598002,71.216081
Jowar(Sorghum),738553,3450,3900.0,3900.0,21.598002,71.216081
Jowar(Sorghum),738554,4000,6010.0,5760.0,21.598002,71.216081
Jowar(Sorghum),738555,3000,5975.0,5900.0,21.598002,71.216081
Jowar(Sorghum),738559,2750,6635.0,5500.0,21.598002,71.216081
Jowar(Sorghum),738562,4000,5750.0,5000.0,21.598002,71.216081
Jowar(Sorghum),738565,5925,6010.0,6010.0,21.598002,71.216081
Jowar(Sorghum),738566,3450,6255.0,5875.0,21.598002,71.216081
Jowar(Sorghum),738567,3100,6755.0,6000.0,21.598002,71.216081
Jowar(Sorghum),738568,4800,5000.0,5000.0,21.598002,71.216081
Jowar(Sorghum),738571,2575,6780.0,5250.0,21.598002,71.216081
Jowar(Sorghum),738572,5360,6815.0,6460.0,21.598002,71.216081
Jowar(Sorghum),738573,3050,6235.0,6105.0,21.598002,71.216081
Jowar(Sorghum),738574,4085,6110.0,5500.0,21.598002,71.216081
Jowar(Sorghum),738575,2505,6405.0,5650.0,21.598002,71.216081
Jowar(Sorghum),738576,4850,6110.0,5650.0,21.598002,71.216081
Jowar(Sorghum),738579,4885,5950.0,5775.0,21.598002,71.216081
Jowar(Sorghum),738580,5000,6965.0,6965.0,21.598002,71.216081
Jowar(Sorghum),738583,3550,6685.0,5760.0,21.598002,71.216081
Jowar(Sorghum),738585,5650,6025.0,6025.0,21.598002,71.216081
Jowar(Sorghum),738589,2600,6280.0,5825.0,21.598002,71.216081
Jowar(Sorghum),738592,4550,4550.0,4550.0,21.598002,71.216081
Jowar(Sorghum),738593,4925,5350.0,5350.0,21.598002,71.216081
Jowar(Sorghum),738594,1750,6565.0,5900.0,21.598002,71.216081
Jowar(Sorghum),738595,1750,4875.0,2735.0,21.598002,71.216081
Jowar(Sorghum),738596,4000,6850.0,5700.0,21.598002,71.216081
Jowar(Sorghum),738599,4000,4250.0,4250.0,21.598002,71.216081
Jowar(Sorghum),738600,5650,5900.0,5900.0,21.598002,71.216081
Jowar(Sorghum),738601,4400,5550.0,5550.0,21.598002,71.216081
Jowar(Sorghum),738602,2750,7000.0,5400.0,21.598002,71.216081
Jowar(Sorghum),738603,4000,6500.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738604,3775,5900.0,5350.0,21.598002,71.216081
Jowar(Sorghum),738613,2750,5175.0,2775.0,21.598002,71.216081
Jowar(Sorghum),738655,2135,4500.0,3625.0,21.598002,71.216081
Jowar(Sorghum),738656,1665,3650.0,2700.0,21.598002,71.216081
Jowar(Sorghum),738657,1500,4625.0,2775.0,21.598002,71.216081
Jowar(Sorghum),738658,1780,4700.0,3885.0,21.598002,71.216081
Jowar(Sorghum),738659,2140,4655.0,3450.0,21.598002,71.216081
Jowar(Sorghum),738660,2330,4660.0,3370.0,21.598002,71.216081
Jowar(Sorghum),738662,2000,4580.0,2655.0,21.598002,71.216081
Jowar(Sorghum),738663,2360,4525.0,2775.0,21.598002,71.216081
Jowar(Sorghum),738664,2000,4580.0,3000.0,21.598002,71.216081
Jowar(Sorghum),738665,1910,4380.0,4100.0,21.598002,71.216081
Jowar(Sorghum),738666,1500,4455.0,3330.0,21.598002,71.216081
Jowar(Sorghum),738667,1800,4080.0,3560.0,21.598002,71.216081
Jowar(Sorghum),738669,2000,4615.0,4365.0,21.598002,71.216081
Jowar(Sorghum),738672,2000,4650.0,3990.0,21.598002,71.216081
Jowar(Sorghum),738673,2425,4555.0,4250.0,21.598002,71.216081
Jowar(Sorghum),738674,2300,4590.0,3970.0,21.598002,71.216081
Jowar(Sorghum),738676,1900,4805.0,3720.0,21.598002,71.216081
Jowar(Sorghum),738677,2000,5040.0,4510.0,21.598002,71.216081
Jowar(Sorghum),738678,3505,5195.0,4755.0,21.598002,71.216081
Jowar(Sorghum),738680,1830,5500.0,4705.0,21.598002,71.216081
Jowar(Sorghum),738681,2775,4850.0,4255.0,21.598002,71.216081
Jowar(Sorghum),738683,2300,4950.0,4505.0,21.598002,71.216081
Jowar(Sorghum),738684,3885,3885.0,3885.0,21.598002,71.216081
Jowar(Sorghum),738685,4850,4850.0,4850.0,21.598002,71.216081
Jowar(Sorghum),738686,2875,2875.0,2875.0,21.598002,71.216081
Jowar(Sorghum),738688,2500,4720.0,4675.0,21.598002,71.216081
Jowar(Sorghum),738690,2000,5500.0,4505.0,21.598002,71.216081
Jowar(Sorghum),738691,2550,5250.0,5060.0,21.598002,71.216081
Jowar(Sorghum),738692,2000,5545.0,4655.0,21.598002,71.216081
Jowar(Sorghum),738693,2255,5875.0,5325.0,21.598002,71.216081
Jowar(Sorghum),738694,2300,5760.0,5600.0,21.598002,71.216081
Jowar(Sorghum),738695,3000,6150.0,5500.0,21.598002,71.216081
Jowar(Sorghum),738697,2865,5805.0,5120.0,21.598002,71.216081
Jowar(Sorghum),738698,2815,5930.0,5460.0,21.598002,71.216081
Jowar(Sorghum),738699,2650,4875.0,4150.0,21.598002,71.216081
Jowar(Sorghum),738701,3000,5955.0,5580.0,21.598002,71.216081
Jowar(Sorghum),738702,2925,5350.0,5350.0,21.598002,71.216081
Jowar(Sorghum),738704,2850,5655.0,5400.0,21.598002,71.216081
Jowar(Sorghum),738705,3375,5625.0,4505.0,21.598002,71.216081
Jowar(Sorghum),738706,3505,5575.0,5125.0,21.598002,71.216081
Jowar(Sorghum),738707,2000,4830.0,4620.0,21.598002,71.216081
Jowar(Sorghum),738708,3055,5255.0,4890.0,21.598002,71.216081
Jowar(Sorghum),738709,4560,5255.0,4850.0,21.598002,71.216081
Jowar(Sorghum),738711,2500,4910.0,4555.0,21.598002,71.216081
Jowar(Sorghum),738712,2705,5325.0,4800.0,21.598002,71.216081
Jowar(Sorghum),738713,3150,5680.0,4475.0,21.598002,71.216081
Jowar(Sorghum),738714,2125,4950.0,4350.0,21.598002,71.216081
Jowar(Sorghum),738715,2940,4755.0,4480.0,21.598002,71.216081
Jowar(Sorghum),738716,2380,4990.0,3130.0,21.598002,71.216081
Jowar(Sorghum),738718,4400,5110.0,4975.0,21.598002,71.216081
Jowar(Sorghum),738719,3330,5255.0,4750.0,21.598002,71.216081
Jowar(Sorghum),738721,2575,3085.0,3075.0,21.598002,71.216081
Jowar(Sorghum),738722,4545,4975.0,4975.0,21.598002,71.216081
Jowar(Sorghum),738723,2900,4500.0,3950.0,21.598002,71.216081
Jowar(Sorghum),738725,3125,4875.0,4360.0,21.598002,71.216081
Jowar(Sorghum),738726,2930,4870.0,4505.0,21.598002,71.216081
Jowar(Sorghum),738727,4250,4450.0,4450.0,21.598002,71.216081
Jowar(Sorghum),738728,3900,4755.0,4755.0,21.598002,71.216081
Jowar(Sorghum),738729,4200,4635.0,4375.0,21.598002,71.216081
Jowar(Sorghum),738733,2650,4100.0,3100.0,21.598002,71.216081
Jowar(Sorghum),738734,2755,4635.0,3050.0,21.598002,71.216081
Jowar(Sorghum),738736,4440,4440.0,4440.0,21.598002,71.216081
Jowar(Sorghum),738740,3230,5030.0,4310.0,21.598002,71.216081
Jowar(Sorghum),738741,3625,4975.0,4890.0,21.598002,71.216081
Jowar(Sorghum),738743,3305,4640.0,4100.0,21.598002,71.216081
Jowar(Sorghum),738744,2250,4255.0,4255.0,21.598002,71.216081
Jowar(Sorghum),738746,3180,5270.0,5125.0,21.598002,71.216081
Jowar(Sorghum),738748,4400,5220.0,4475.0,21.598002,71.216081
Jowar(Sorghum),738749,3300,5110.0,4360.0,21.598002,71.216081
Jowar(Sorghum),738750,3055,4620.0,3155.0,21.598002,71.216081
Jowar(Sorghum),738753,2425,4975.0,3875.0,21.598002,71.216081
Jowar(Sorghum),738754,4335,5755.0,5530.0,21.598002,71.216081
Jowar(Sorghum),738755,3750,5495.0,4355.0,21.598002,71.216081
Jowar(Sorghum),738756,3100,5160.0,4755.0,21.598002,71.216081
Jowar(Sorghum),738757,2505,4040.0,3205.0,21.598002,71.216081
Jowar(Sorghum),738758,1665,4850.0,3240.0,21.598002,71.216081
Jowar(Sorghum),738760,3000,5260.0,5250.0,21.598002,71.216081
Jowar(Sorghum),738761,4450,5000.0,4905.0,21.598002,71.216081
Jowar(Sorghum),738763,2310,5340.0,3110.0,21.598002,71.216081
Jowar(Sorghum),738764,2525,5205.0,4025.0,21.598002,71.216081
Jowar(Sorghum),738765,2300,5270.0,2675.0,21.598002,71.216081
Jowar(Sorghum),738774,3750,5360.0,5360.0,21.598002,71.216081
Jowar(Sorghum),738778,3160,5090.0,3750.0,21.598002,71.216081
Jowar(Sorghum),738779,2000,5500.0,5270.0,21.598002,71.216081
Jowar(Sorghum),738781,4525,5255.0,5075.0,21.598002,71.216081
Jowar(Sorghum),738782,3255,3255.0,3255.0,21.598002,71.216081
Jowar(Sorghum),738783,3270,4910.0,4910.0,21.598002,71.216081
Jowar(Sorghum),738784,5100,5100.0,5100.0,21.598002,71.216081
Jowar(Sorghum),738785,2675,5270.0,4850.0,21.598002,71.216081
Jowar(Sorghum),738786,2000,5160.0,5000.0,21.598002,71.216081
Jowar(Sorghum),738788,2500,5200.0,5200.0,21.598002,71.216081
Jowar(Sorghum),738789,2550,2950.0,2950.0,21.598002,71.216081
Jowar(Sorghum),738790,2925,4825.0,4755.0,21.598002,71.216081
Jowar(Sorghum),738791,2460,4975.0,4755.0,21.598002,71.216081
Jowar(Sorghum),738796,3200,5180.0,4410.0,21.598002,71.216081
Jowar(Sorghum),738798,2525,3775.0,3775.0,21.598002,71.216081
Jowar(Sorghum),738799,1800,5250.0,3625.0,21.598002,71.216081
Jowar(Sorghum),738800,2590,5505.0,5505.0,21.598002,71.216081
Jowar(Sorghum),738802,3000,3000.0,3000.0,21.598002,71.216081
Jowar(Sorghum),738803,2150,5495.0,5260.0,21.598002,71.216081
Jowar(Sorghum),738811,4500,5805.0,5805.0,21.598002,71.216081
Jowar(Sorghum),738812,3020,5670.0,5200.0,21.598002,71.216081
Jowar(Sorghum),738813,5000,5320.0,5320.0,21.598002,71.216081
Jowar(Sorghum),738814,5675,5675.0,5675.0,21.598002,71.216081
Jowar(Sorghum),738816,3750,5750.0,5210.0,21.598002,71.216081
Jowar(Sorghum),738818,4225,6035.0,5650.0,21.598002,71.216081
Jowar(Sorghum),738819,2220,5645.0,4125.0,21.598002,71.216081
Jowar(Sorghum),738820,3020,6265.0,5955.0,21.598002,71.216081
Jowar(Sorghum),738821,5985,5985.0,5985.0,21.598002,71.216081
Jowar(Sorghum),738823,5500,5820.0,5675.0,21.598002,71.216081
Jowar(Sorghum),738824,4960,5500.0,5500.0,21.598002,71.216081
Jowar(Sorghum),738825,3050,6505.0,5325.0,21.598002,71.216081
Jowar(Sorghum),738826,2355,6655.0,5910.0,21.598002,71.216081
Jowar(Sorghum),738827,5025,6185.0,5605.0,21.598002,71.216081
Jowar(Sorghum),738828,2225,5900.0,4510.0,21.598002,71.216081
Jowar(Sorghum),738832,3150,5750.0,5360.0,21.598002,71.216081
Jowar(Sorghum),738833,4000,6300.0,6000.0,21.598002,71.216081
Jowar(Sorghum),738834,2750,6345.0,5790.0,21.598002,71.216081
Jowar(Sorghum),738844,5425,6445.0,6000.0,21.598002,71.216081
Jowar(Sorghum),738845,3395,5775.0,5775.0,21.598002,71.216081
Jowar(Sorghum),738846,4825,6500.0,5950.0,21.598002,71.216081
Jowar(Sorghum),738847,5775,6040.0,5900.0,21.598002,71.216081
Jowar(Sorghum),738848,3020,6865.0,6100.0,21.598002,71.216081
Jowar(Sorghum),738849,4500,5950.0,5950.0,21.598002,71.216081
Jowar(Sorghum),738851,4000,6000.0,5255.0,21.598002,71.216081
Jowar(Sorghum),738852,3000,5780.0,5505.0,21.598002,71.216081
Jowar(Sorghum),738853,3750,5600.0,5450.0,21.598002,71.216081
Jowar(Sorghum),738723,2755,2755.0,2755.0,21.598002,71.216081
Jowar(Sorghum),738726,3000,4750.0,3875.0,21.598002,71.216081
Jowar(Sorghum),738727,2625,4500.0,3560.0,21.598002,71.216081
Jowar(Sorghum),738729,2100,4625.0,3360.0,21.598002,71.216081
Jowar(Sorghum),738734,2600,2600.0,2600.0,21.598002,71.216081
Jowar(Sorghum),738742,3725,4325.0,4025.0,21.598002,71.216081
Jowar(Sorghum),738522,4205,4500.0,4352.0,21.598002,71.216081
Jowar(Sorghum),738523,2865,4500.0,3682.0,21.598002,71.216081
Jowar(Sorghum),738530,2600,4505.0,3552.0,21.598002,71.216081
Jowar(Sorghum),738533,4280,4775.0,4527.0,21.598002,71.216081
Jowar(Sorghum),738536,4250,4520.0,4385.0,21.598002,71.216081
Jowar(Sorghum),738544,2755,4890.0,3822.0,21.598002,71.216081
Jowar(Sorghum),738558,4425,5850.0,5137.0,21.598002,71.216081
Jowar(Sorghum),738565,5000,5670.0,5335.0,21.598002,71.216081
Jowar(Sorghum),738588,3000,3015.0,3007.0,21.598002,71.216081
Jowar(Sorghum),738593,2000,2350.0,2175.0,21.598002,71.216081
Jowar(Sorghum),738596,4052,5000.0,4505.0,21.598002,71.216081
Jowar(Sorghum),738635,3225,3225.0,3225.0,21.598002,71.216081
Jowar(Sorghum),738643,3150,3150.0,3150.0,21.598002,71.216081
Jowar(Sorghum),738644,3630,3630.0,3630.0,21.598002,71.216081
Jowar(Sorghum),738645,3550,3550.0,3550.0,21.598002,71.216081
Jowar(Sorghum),738648,3800,3800.0,3800.0,21.598002,71.216081
Jowar(Sorghum),738653,2750,2750.0,2750.0,21.598002,71.216081
Jowar(Sorghum),738655,3375,3375.0,3375.0,21.598002,71.216081
Jowar(Sorghum),738656,3650,3650.0,3650.0,21.598002,71.216081
Jowar(Sorghum),738657,2600,3325.0,2962.0,21.598002,71.216081
Jowar(Sorghum),738660,3020,3020.0,3020.0,21.598002,71.216081
Jowar(Sorghum),738669,2425,3870.0,3147.0,21.598002,71.216081
Jowar(Sorghum),738670,3960,3960.0,3960.0,21.598002,71.216081
Jowar(Sorghum),738672,4000,4000.0,4000.0,21.598002,71.216081
Jowar(Sorghum),738674,2450,3945.0,3197.0,21.598002,71.216081
Jowar(Sorghum),738676,2500,4260.0,3380.0,21.598002,71.216081
Jowar(Sorghum),738677,3275,4560.0,3917.0,21.598002,71.216081
Jowar(Sorghum),738678,2525,3190.0,2857.0,21.598002,71.216081
Jowar(Sorghum),738679,2505,5000.0,3752.0,21.598002,71.216081
Jowar(Sorghum),738680,4500,4500.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738681,2480,4710.0,3595.0,21.598002,71.216081
Jowar(Sorghum),738690,2500,5100.0,3800.0,21.598002,71.216081
Jowar(Sorghum),738693,3580,4505.0,4040.0,21.598002,71.216081
Jowar(Sorghum),738694,3000,4675.0,3837.0,21.598002,71.216081
Jowar(Sorghum),738695,2300,3000.0,2650.0,21.598002,71.216081
Jowar(Sorghum),738699,3175,5200.0,4185.0,21.598002,71.216081
Jowar(Sorghum),738705,3905,4775.0,4340.0,21.598002,71.216081
Jowar(Sorghum),738711,4625,4850.0,4735.0,21.598002,71.216081
Jowar(Sorghum),738713,4375,4375.0,4375.0,21.598002,71.216081
Jowar(Sorghum),738716,3100,4655.0,3875.0,21.598002,71.216081
Jowar(Sorghum),738744,2625,2775.0,2700.0,21.598002,71.216081
Jowar(Sorghum),738764,2000,2225.0,2112.0,21.598002,71.216081
Jowar(Sorghum),738775,5000,5160.0,5080.0,21.598002,71.216081
Jowar(Sorghum),738779,3500,5925.0,4437.0,21.598002,71.216081
Jowar(Sorghum),738781,5000,5350.0,5175.0,21.598002,71.216081
Jowar(Sorghum),738783,5000,5255.0,5127.0,21.598002,71.216081
Jowar(Sorghum),738785,2500,5125.0,3812.0,21.598002,71.216081
Jowar(Sorghum),738789,5053,5125.0,5080.0,21.598002,71.216081
Jowar(Sorghum),738792,4600,4750.0,4675.0,21.598002,71.216081
Jowar(Sorghum),738809,5740,5800.0,5770.0,21.598002,71.216081
Jowar(Sorghum),738821,5500,5870.0,5685.0,21.598002,71.216081
Jowar(Sorghum),738844,2850,3500.0,3175.0,21.598002,71.216081
Jowar(Sorghum),738679,3025,3025.0,3025.0,21.598002,71.216081
Jowar(Sorghum),738693,2500,2500.0,2500.0,21.598002,71.216081
Jowar(Sorghum),738695,2500,2500.0,2500.0,21.598002,71.216081
Jowar(Sorghum),738698,4500,4500.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738704,2750,2750.0,2750.0,21.598002,71.216081
Jowar(Sorghum),738712,2230,2230.0,2230.0,21.598002,71.216081
Jowar(Sorghum),738721,3100,3100.0,3100.0,21.598002,71.216081
Jowar(Sorghum),738735,2325,2325.0,2325.0,21.598002,71.216081
Jowar(Sorghum),738757,4500,4500.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738760,3755,3755.0,3755.0,21.598002,71.216081
Jowar(Sorghum),738761,4585,4585.0,4585.0,21.598002,71.216081
Jowar(Sorghum),738765,4800,4800.0,4800.0,21.598002,71.216081
Jowar(Sorghum),738776,3150,3150.0,3150.0,21.598002,71.216081
Jowar(Sorghum),738811,4300,4550.0,4425.0,21.598002,71.216081
Jowar(Sorghum),738522,2500,4255.0,3378.0,21.598002,71.216081
Jowar(Sorghum),738523,3505,5400.0,4453.0,21.598002,71.216081
Jowar(Sorghum),738524,3000,5005.0,4003.0,21.598002,71.216081
Jowar(Sorghum),738526,3355,5450.0,4403.0,21.598002,71.216081
Jowar(Sorghum),738527,3005,5000.0,4003.0,21.598002,71.216081
Jowar(Sorghum),738529,5050,5555.0,5303.0,21.598002,71.216081
Jowar(Sorghum),738538,5130,5750.0,5440.0,21.598002,71.216081
Jowar(Sorghum),738539,3755,5355.0,4555.0,21.598002,71.216081
Jowar(Sorghum),738540,4000,6060.0,5030.0,21.598002,71.216081
Jowar(Sorghum),738541,3500,6305.0,4903.0,21.598002,71.216081
Jowar(Sorghum),738543,2500,6630.0,4565.0,21.598002,71.216081
Jowar(Sorghum),738544,2560,6340.0,4450.0,21.598002,71.216081
Jowar(Sorghum),738545,3030,6290.0,4660.0,21.598002,71.216081
Jowar(Sorghum),738547,3100,6360.0,4730.0,21.598002,71.216081
Jowar(Sorghum),738550,5500,5755.0,5628.0,21.598002,71.216081
Jowar(Sorghum),738551,2105,6375.0,4240.0,21.598002,71.216081
Jowar(Sorghum),738552,2945,5355.0,4150.0,21.598002,71.216081
Jowar(Sorghum),738554,3000,4950.0,3975.0,21.598002,71.216081
Jowar(Sorghum),738555,4375,5125.0,4750.0,21.598002,71.216081
Jowar(Sorghum),738557,5000,5930.0,5465.0,21.598002,71.216081
Jowar(Sorghum),738558,5000,5405.0,5203.0,21.598002,71.216081
Jowar(Sorghum),738559,4000,5500.0,4750.0,21.598002,71.216081
Jowar(Sorghum),738560,3000,5900.0,4450.0,21.598002,71.216081
Jowar(Sorghum),738564,4500,6055.0,5278.0,21.598002,71.216081
Jowar(Sorghum),738565,4065,5990.0,5028.0,21.598002,71.216081
Jowar(Sorghum),738566,5255,6305.0,5780.0,21.598002,71.216081
Jowar(Sorghum),738567,3305,6110.0,4708.0,21.598002,71.216081
Jowar(Sorghum),738571,4000,6510.0,5255.0,21.598002,71.216081
Jowar(Sorghum),738572,3000,6060.0,4530.0,21.598002,71.216081
Jowar(Sorghum),738573,2755,6000.0,4378.0,21.598002,71.216081
Jowar(Sorghum),738574,3165,6050.0,4608.0,21.598002,71.216081
Jowar(Sorghum),738576,3750,6010.0,4880.0,21.598002,71.216081
Jowar(Sorghum),738578,4600,6200.0,5400.0,21.598002,71.216081
Jowar(Sorghum),738580,3500,5755.0,4628.0,21.598002,71.216081
Jowar(Sorghum),738581,3005,6000.0,4503.0,21.598002,71.216081
Jowar(Sorghum),738583,3000,6045.0,4523.0,21.598002,71.216081
Jowar(Sorghum),738585,3030,6060.0,4545.0,21.598002,71.216081
Jowar(Sorghum),738586,2505,5755.0,4130.0,21.598002,71.216081
Jowar(Sorghum),738588,2500,5755.0,4128.0,21.598002,71.216081
Jowar(Sorghum),738589,2505,5900.0,4203.0,21.598002,71.216081
Jowar(Sorghum),738590,2500,5850.0,4175.0,21.598002,71.216081
Jowar(Sorghum),738596,3210,5780.0,4495.0,21.598002,71.216081
Jowar(Sorghum),738597,3000,5760.0,4380.0,21.598002,71.216081
Jowar(Sorghum),738617,2505,6140.0,4323.0,21.598002,71.216081
Jowar(Sorghum),738620,2000,6005.0,4003.0,21.598002,71.216081
Jowar(Sorghum),738621,1500,6500.0,4000.0,21.598002,71.216081
Jowar(Sorghum),738622,2500,5795.0,4148.0,21.598002,71.216081
Jowar(Sorghum),738623,2250,5555.0,3903.0,21.598002,71.216081
Jowar(Sorghum),738627,2755,5110.0,3933.0,21.598002,71.216081
Jowar(Sorghum),738630,2000,5000.0,3500.0,21.598002,71.216081
Jowar(Sorghum),738631,2055,5205.0,3630.0,21.598002,71.216081
Jowar(Sorghum),738634,2000,5105.0,3553.0,21.598002,71.216081
Jowar(Sorghum),738635,3500,4655.0,4078.0,21.598002,71.216081
Jowar(Sorghum),738637,2000,4750.0,3375.0,21.598002,71.216081
Jowar(Sorghum),738638,3450,5000.0,4225.0,21.598002,71.216081
Jowar(Sorghum),738641,2250,4970.0,3610.0,21.598002,71.216081
Jowar(Sorghum),738643,2000,4950.0,3475.0,21.598002,71.216081
Jowar(Sorghum),738644,2025,5000.0,3513.0,21.598002,71.216081
Jowar(Sorghum),738645,2500,4765.0,3633.0,21.598002,71.216081
Jowar(Sorghum),738651,3500,4855.0,4178.0,21.598002,71.216081
Jowar(Sorghum),738652,2505,4855.0,3680.0,21.598002,71.216081
Jowar(Sorghum),738653,2250,4705.0,3478.0,21.598002,71.216081
Jowar(Sorghum),738655,2000,4700.0,3350.0,21.598002,71.216081
Jowar(Sorghum),738656,2875,4700.0,3788.0,21.598002,71.216081
Jowar(Sorghum),738657,2255,4875.0,3565.0,21.598002,71.216081
Jowar(Sorghum),738658,1750,5125.0,3438.0,21.598002,71.216081
Jowar(Sorghum),738659,2275,5005.0,3640.0,21.598002,71.216081
Jowar(Sorghum),738662,2000,4755.0,3378.0,21.598002,71.216081
Jowar(Sorghum),738663,2105,4300.0,3203.0,21.598002,71.216081
Jowar(Sorghum),738664,1505,4810.0,3158.0,21.598002,71.216081
Jowar(Sorghum),738665,3005,4300.0,3653.0,21.598002,71.216081
Jowar(Sorghum),738666,2400,4505.0,3453.0,21.598002,71.216081
Jowar(Sorghum),738667,2500,4510.0,3505.0,21.598002,71.216081
Jowar(Sorghum),738669,2500,4800.0,3650.0,21.598002,71.216081
Jowar(Sorghum),738670,2500,4875.0,3688.0,21.598002,71.216081
Jowar(Sorghum),738671,4500,4750.0,4625.0,21.598002,71.216081
Jowar(Sorghum),738672,2255,4880.0,3568.0,21.598002,71.216081
Jowar(Sorghum),738673,2250,4505.0,3378.0,21.598002,71.216081
Jowar(Sorghum),738674,2750,4630.0,3690.0,21.598002,71.216081
Jowar(Sorghum),738676,1500,5500.0,3500.0,21.598002,71.216081
Jowar(Sorghum),738678,2005,5355.0,3680.0,21.598002,71.216081
Jowar(Sorghum),738679,3005,5100.0,4053.0,21.598002,71.216081
Jowar(Sorghum),738680,2500,5355.0,3928.0,21.598002,71.216081
Jowar(Sorghum),738681,3255,5355.0,4305.0,21.598002,71.216081
Jowar(Sorghum),738690,2500,5505.0,4003.0,21.598002,71.216081
Jowar(Sorghum),738691,2850,5505.0,4178.0,21.598002,71.216081
Jowar(Sorghum),738693,2505,5585.0,4045.0,21.598002,71.216081
Jowar(Sorghum),738694,3250,5750.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738697,2750,5905.0,4328.0,21.598002,71.216081
Jowar(Sorghum),738698,3750,6255.0,5002.0,21.598002,71.216081
Jowar(Sorghum),738699,3750,6255.0,5002.0,21.598002,71.216081
Jowar(Sorghum),738702,4800,4900.0,4850.0,21.598002,71.216081
Jowar(Sorghum),738704,2000,5855.0,2928.0,21.598002,71.216081
Jowar(Sorghum),738705,3600,5755.0,4678.0,21.598002,71.216081
Jowar(Sorghum),738706,3005,5875.0,4440.0,21.598002,71.216081
Jowar(Sorghum),738707,2750,5250.0,4000.0,21.598002,71.216081
Jowar(Sorghum),738708,4250,5800.0,5025.0,21.598002,71.216081
Jowar(Sorghum),738709,4655,5250.0,4953.0,21.598002,71.216081
Jowar(Sorghum),738711,4125,5750.0,4938.0,21.598002,71.216081
Jowar(Sorghum),738712,2850,5455.0,4153.0,21.598002,71.216081
Jowar(Sorghum),738713,4255,5850.0,5053.0,21.598002,71.216081
Jowar(Sorghum),738714,4000,5500.0,4750.0,21.598002,71.216081
Jowar(Sorghum),738715,3055,4650.0,3853.0,21.598002,71.216081
Jowar(Sorghum),738716,1500,5300.0,3400.0,21.598002,71.216081
Jowar(Sorghum),738719,4000,5000.0,4500.0,21.598002,71.216081
Jowar(Sorghum),738720,4325,5005.0,4665.0,21.598002,71.216081
Jowar(Sorghum),738722,2805,4500.0,3653.0,21.598002,71.216081
Jowar(Sorghum),738726,2900,4500.0,3700.0,21.598002,71.216081
Jowar(Sorghum),738733,4500,5060.0,4780.0,21.598002,71.216081
Jowar(Sorghum),738734,3005,5050.0,4028.0,21.598002,71.216081
Jowar(Sorghum),738736,3250,4500.0,3875.0,21.598002,71.216081
Jowar(Sorghum),738737,3000,5000.0,4000.0,21.598002,71.216081
Jowar(Sorghum),738739,2500,4750.0,3625.0,21.598002,71.216081
Jowar(Sorghum),738741,4845,4875.0,4860.0,21.598002,71.216081
Jowar(Sorghum),738742,4500,5125.0,4813.0,21.598002,71.216081
Jowar(Sorghum),738743,4005,4955.0,4480.0,21.598002,71.216081
Jowar(Sorghum),738744,3125,5155.0,4140.0,21.598002,71.216081
Jowar(Sorghum),738746,4125,5155.0,4640.0,21.598002,71.216081
Jowar(Sorghum),738748,2950,5255.0,4103.0,21.598002,71.216081
Jowar(Sorghum),738749,3755,5635.0,4695.0,21.598002,71.216081
Jowar(Sorghum),738750,3405,5910.0,4658.0,21.598002,71.216081
Jowar(Sorghum),738751,3290,5375.0,4333.0,21.598002,71.216081
Jowar(Sorghum),738753,2225,5200.0,3713.0,21.598002,71.216081
Jowar(Sorghum),738754,2625,5500.0,4063.0,21.598002,71.216081
